customer_id,customer_name,email,registration_date,customer_type
C0001,Allison Hill,abcgmail.com,2026-03-23,VIP
C0002,Javier Johnson,xyz@,2023-04-11,REGULAR
C0003,Meredith Barnes,zlawrence@example.org,2022-12-11,REGULAR
C0004,Gina Moore,curtis61@example.com,2024-07-05,VIP
C0005,Renee Blair,dudleynicholas@example.net,2024-01-29,PREMIUM
C0006,Lisa Hensley,janetwilliams@example.org,2024-01-18,REGULAR
C0007,Dr. Sharon James,xreid@example.org,2024-09-25,REGULAR
C0008,Michael Miles,lynchgeorge@example.net,2023-09-01,REGULAR
C0009,James Mayo,gabriellecameron@example.org,2023-07-14,VIP
C0010,Renee Morales,clarksherri@example.net,2024-04-05,REGULAR
C0011,Jonathan Wilkerson,ithomas@example.org,2026-05-12,VIP
C0012,Nicole Patterson,icox@example.net,2025-10-13,VIP
C0013,Anthony Rodriguez,laurahenderson@example.org,2024-11-09,VIP
C0014,Zachary Rice,frazierdanny@example.net,2023-11-08,REGULAR
C0015,Gina Carter,shawnmckay@example.net,2023-10-29,VIP
C0016,Pamela Romero,harrellkenneth@example.net,2025-11-26,PREMIUM
C0017,Brittany Farmer,georgetracy@example.org,2024-09-02,REGULAR
C0018,Sandra Parker,allenashley@example.org,2022-04-25,REGULAR
C0019,Rose Spence,davidalvarez@example.net,2022-12-28,REGULAR
C0020,Shane Henderson,sarahcampos@example.net,2023-04-18,REGULAR
C0021,Jennifer Powers,samuel87@example.org,2023-09-11,REGULAR
C0022,George Chapman,briannasmith@example.net,2022-01-31,VIP
C0023,Taylor Heath,palmerjoshua@example.com,2023-05-29,VIP
C0024,Miranda Khan,esanchez@example.com,2023-03-16,REGULAR
C0025,Matthew Gomez,uowens@example.org,2022-06-03,VIP
C0026,Nicholas Mcbride,wrightjames@example.com,2022-10-11,REGULAR
C0027,Donald Wright,ramosmichelle@example.net,2022-06-02,VIP
C0028,Zachary Huff,housemelinda@example.org,2025-01-15,VIP
C0029,Mr. James Brown,ysmith@example.com,2025-06-15,VIP
C0030,Michael Cross,smoore@example.org,2022-01-30,VIP
C0031,Kimberly Adkins,williamsthomas@example.net,2022-12-04,PREMIUM
C0032,Jordan York,larsonemma@example.org,2025-01-07,REGULAR
C0033,Steve Sanchez,harveyrobert@example.net,2026-05-24,PREMIUM
C0034,Taylor Harris,john62@example.net,2024-02-20,VIP
C0035,Timothy Walls,ellisyolanda@example.org,2022-03-17,PREMIUM
C0036,Katie Anderson,nicole35@example.com,2022-12-05,REGULAR
C0037,Joshua Turner,contrerasangela@example.net,2022-06-19,REGULAR
C0038,Brandy Wilson,newtoneric@example.com,2023-05-18,VIP
C0039,Christina Walters,william40@example.org,2025-03-10,PREMIUM
C0040,Amanda Cook,danagreen@example.net,2025-05-05,PREMIUM
C0041,Jessica Smith,landryhannah@example.org,2026-03-24,PREMIUM
C0042,Jacob Tran,tanderson@example.com,2021-12-03,REGULAR
C0043,Christine Wright,gomezanita@example.com,2022-11-25,REGULAR
C0044,Cynthia Martin,nicolejohnson@example.net,2024-05-30,PREMIUM
C0045,Jennifer Santiago,josephcobb@example.org,2024-11-02,REGULAR
C0046,Shannon Walker,ybailey@example.org,2023-06-25,REGULAR
C0047,Corey Murphy,rasmussenjoshua@example.net,2025-12-01,PREMIUM
C0048,William Herrera,wilsontara@example.org,2026-07-10,REGULAR
C0049,Deborah Rodriguez,yreed@example.com,2025-04-18,PREMIUM
C0050,Kayla Cruz,jonathanfletcher@example.org,2026-01-03,PREMIUM
C0051,Kimberly Ball,michaeljones@example.net,2024-05-23,VIP
C0052,Mary Martinez,william65@example.com,2024-02-06,PREMIUM
C0053,Cheryl Ortega,lbyrd@example.net,2026-06-05,REGULAR
C0054,Joshua Smith,jason99@example.net,2024-04-29,VIP
C0055,Jeremy Lewis,yleon@example.net,2023-01-11,PREMIUM
C0056,Diane Beck,clarence34@example.org,2023-04-12,VIP
C0057,Angel Riggs,gibsonolivia@example.net,2023-03-29,REGULAR
C0058,Janet Ross,dianasmith@example.org,2025-03-14,PREMIUM
C0059,Robert Dominguez,pwilliams@example.org,2025-06-20,REGULAR
C0060,John Schmidt,stephanie79@example.net,2025-11-17,VIP
C0061,Terry Griffin,juliawells@example.com,2023-09-09,PREMIUM
C0062,Destiny Strickland,rsims@example.com,2022-03-30,VIP
C0063,Cynthia Rogers,taylorjesse@example.net,2022-11-19,VIP
C0064,Amy Russell,nperry@example.com,2024-11-24,PREMIUM
C0065,Lauren Dominguez,wwoods@example.com,2024-11-25,VIP
C0066,Tiffany Barnes,tracynelson@example.com,2021-10-31,REGULAR
C0067,Michael Yates,marycalhoun@example.net,2026-02-16,VIP
C0068,James Elliott,millerroy@example.com,2023-02-17,REGULAR
C0069,James Lewis,matthew64@example.com,2023-09-24,REGULAR
C0070,Julie Curry,cookemichael@example.net,2022-03-03,VIP
C0071,Marissa Webster,jamessmith@example.org,2023-08-13,REGULAR
C0072,Michael Elliott,stevenscott@example.com,2023-01-05,PREMIUM
C0073,Tracey Higgins,tamirodriguez@example.org,2024-03-28,REGULAR
C0074,Susan Brooks,charlesvaughn@example.net,2023-08-26,REGULAR
C0075,Raymond Jefferson,hoganashlee@example.org,2024-07-15,REGULAR
C0076,Mary Jones,alexander67@example.org,2025-04-09,PREMIUM
C0077,Madison Poole,ryangross@example.net,2023-11-19,PREMIUM
C0078,Tamara Hampton,ugraham@example.net,2023-11-13,PREMIUM
C0079,David Michael,nicole37@example.net,2024-10-22,VIP
C0080,Johnny Nguyen,zlewis@example.com,2024-06-24,PREMIUM
